company_id,year,net_profit,equity_capital,reserves,total_equity,raw_roe_pct
ADANIPOWER,2017-03,-6174,3857.0,-857,3000.0,-205.79999999999998
ADANIPOWER,2018-03,-2103,3857.0,-2968,889.0,-236.55793025871765
BEL,2013-03,911,2.0,4,6.0,15183.333333333334
BEL,2014-03,952,2.0,5,7.0,13600.0
BEL,2015-03,1197,2.0,5,7.0,17100.0
BEL,2016-03,1337,9.0,3,12.0,11141.666666666668
BEL,2017-03,1523,9.0,6,15.0,10153.333333333334
BEL,2018-03,1431,10.0,21,31.0,4616.129032258064
BEL,2019-03,1887,11.0,38,49.0,3851.020408163265
BEL,2020-03,1825,11.0,44,55.0,3318.181818181818
BEL,2021-03,2100,11.0,48,59.0,3559.322033898305
BEL,2022-03,2400,11.0,58,69.0,3478.260869565217
BEL,2023-03,2986,11.0,64,75.0,3981.333333333333
BEL,2024-03,3985,11.0,73,84.0,4744.047619047619
HAL,2016-03,1998,5.0,115,120.0,1664.9999999999998
HAL,2017-03,2616,5.0,128,133.0,1966.9172932330828
HAL,2018-03,1987,5.0,125,130.0,1528.4615384615386
HAL,2019-03,2346,5.0,128,133.0,1763.9097744360904
HAL,2020-03,2842,5.0,133,138.0,2059.4202898550725
HAL,2021-03,3239,5.0,139,144.0,2249.3055555555557
HAL,2022-03,5086,5.0,148,153.0,3324.183006535948
HAL,2023-03,5811,5.0,172,177.0,3283.050847457627
HAL,2024-03,7595,5.0,194,199.0,3816.5829145728644
LICI,2019-03,2627,100.0,710,810.0,324.32098765432096
LICI,2020-03,2710,100.0,902,1002.0,270.45908183632736
LT,2013-03,5291,16.0,1323,1339.0,395.1456310679612
LT,2014-03,4885,16.0,1594,1610.0,303.41614906832297
LT,2015-03,4966,16.0,2010,2026.0,245.11352418558738
LT,2016-03,4592,17.0,2108,2125.0,216.09411764705882
LT,2017-03,6486,17.0,3127,3144.0,206.29770992366412
LT,2018-03,8004,17.0,3843,3860.0,207.3575129533679
LT,2019-03,10217,17.0,4876,4893.0,208.80850194154914
LT,2020-03,10894,17.0,5387,5404.0,201.59141376757955
PNB,2013-03,5020,50.0,568,618.0,812.2977346278317
PNB,2013-03,5020,50.0,568,618.0,812.2977346278317
PNB,2013-03,5020,50.0,568,618.0,812.2977346278317
PNB,2013-03,5020,50.0,568,618.0,812.2977346278317
PNB,2013-03,5020,50.0,568,618.0,812.2977346278317
PNB,2014-03,3674,66.0,868,934.0,393.3618843683083
PNB,2014-03,3674,66.0,868,934.0,393.3618843683083
PNB,2014-03,3674,66.0,868,934.0,393.3618843683083
PNB,2014-03,3674,66.0,868,934.0,393.3618843683083
PNB,2014-03,3674,66.0,868,934.0,393.3618843683083
PNB,2015-03,3525,104.0,1475,1579.0,223.2425585813806
PNB,2015-03,3525,104.0,1475,1579.0,223.2425585813806
PNB,2015-03,3525,104.0,1475,1579.0,223.2425585813806
PNB,2015-03,3525,104.0,1475,1579.0,223.2425585813806
PNB,2015-03,3525,104.0,1475,1579.0,223.2425585813806
UNITDSPR,2015-03,-1687,145.0,514,659.0,-255.99393019726858
ZOMATO,2020-03,-2386,0.0,457,457.0,-522.1006564551423
INDIGO,2013-03,787,0.4,4,4.4,17886.363636363636
INDIGO,2014-03,474,0.4,4,4.4,10772.727272727272
INDIGO,2015-03,1304,0.4,26,26.4,4939.39393939394
INDIGO,2016-03,1986,0.4,129,129.4,1534.775888717156
INDIGO,2017-03,1659,29.0,69,98.0,1692.8571428571427
INDIGO,2018-03,2242,29.0,71,100.0,2242.0
INDIGO,2021-03,-6171,48.0,516,564.0,-1094.148936170213
INDIGO,2024-03,8167,48.0,867,915.0,892.568306010929
